*,folio,nr,articles,Noms locaux,ares,cent,prix proportionnels par are de la commission cadastrale,use,owner,ville,pays,adresse_complete,type_simplifie,lat,lon
7867,146.0,37.0,,Au Mur Blanc,,,,Brasserie,"Lausanne, la commune de",Lausanne,Switzerland,"Au Mur Blanc, Lausanne, Switzerland",Brasserie,,
7991,150.0,43.0,,En Chauderon,,,,Entrée de salle,"Collège Galliard, la Société du",Lausanne,Switzerland,"En Chauderon, Lausanne, Switzerland",Autre,46.5233741,6.6265114
8064,151.0,40.0,,En Chauderon (La Persévérance),,,,"Logement, café","Virchaud, les hoirs de Ernest François Pierre (Louis Henri Adrien; François Charles; Henriette Fanny; Ernest Marius; Rosa Charlotte Henriette)(pour 1/3); les filles de Jean Nicolas Louis Virchaux (Henriette Louise, femme de Henri Marius Brun; Charlotte Barbe Fanny Henriette, femme de Charles Samuel Philippe Maurel)(pour 2/3)",Lausanne,Switzerland,"En Chauderon (La Persévérance), Lausanne, Switzerland",Café,46.5233741,6.6265114
8141,152.0,60.0,,Au Maupas (Rue du Jura),,,,"Maison d'habitation, café","Jura, Société immobilière de la rue du",Lausanne,Switzerland,"Au Maupas (Rue du Jura), Lausanne, Switzerland",Café,,
8204,154.0,6.0,,A Beaulieu,,,,Salle,"Lausanne, la commune de",Lausanne,Switzerland,"A Beaulieu, Lausanne, Switzerland",Autre,46.5263443,6.6252016
8205,154.0,7.0,,A Beaulieu,,,,"Logement, café","Lausanne, la commune de",Lausanne,Switzerland,"A Beaulieu, Lausanne, Switzerland",Café,46.5263443,6.6252016
8223,154.0,40.0,,A Beaulieu,,,,"Logement, café","Dupuis, François Constantin feu Joseph Emmanuel; Dupuis, Marc Antoine feu Joseph Emmanuel; Dupuis, Victor Samuel feu Joseph Emmanuel; Dupuis, Jean Pierre Joseph feu Joseph Emmanuel; Dupuis, Paul Alphonse Louis feu Joseph Amédée (chacun pour 1/5)",Lausanne,Switzerland,"A Beaulieu, Lausanne, Switzerland",Café,46.5263443,6.6252016
8277,155.0,28.0,,Au Maupas,,,,"Logement, café","Meylan, François Elie feu Jaques François",Lausanne,Switzerland,"Au Maupas, Lausanne, Switzerland",Café,46.5247237,6.6261009
8590,160.0,1.0,,A la Ponthaise,,,,"Maison d'habitation, café","Balissat, Rosine feu Jean Gygax, femme séparée de biens de Georges Louis Fréderic Emile",Lausanne,Switzerland,"A la Ponthaise, Lausanne, Switzerland",Café,,
8591,160.0,2.0,,A la Ponthaise,,,,"Magasin, salle","Balissat, Rosine feu Jean Gygax, femme séparée de biens de Georges Louis Fréderic Emile",Lausanne,Switzerland,"A la Ponthaise, Lausanne, Switzerland",Autre,,
8598,160.0,10.0,,A la Ponthaise,,,,"Maison d'habitation, café","Berger, Gottfried fils de Samuel",Lausanne,Switzerland,"A la Ponthaise, Lausanne, Switzerland",Café,,
8600,160.0,13.0,,A la Ponthaise,,,,"Maison d'habitation, café","Büchy, Johann Ulrich feu Jacob",Lausanne,Switzerland,"A la Ponthaise, Lausanne, Switzerland",Café,,
8710,162.0,5.0,,Le champ au Blé (La Violette),,,,"Maison d'habitation, café de tempérance","Barbey, William feu Henry François",Lausanne,Switzerland,"Le champ au Blé (La Violette), Lausanne, Switzerland",Café,,
9037,176.0,8.0,,A la Ponthaise,,,,"Logement, café","Lausanne, la commune de",Lausanne,Switzerland,"A la Ponthaise, Lausanne, Switzerland",Café,,
9067,176.0,41.0,,A la Ponthaise,,,,"Logement, magasin, café","Pache, les enfants de feu Charles Elie Jean (Charles Daniel Auguste Louis; Julie Louise, femme de Gottlob Grüne; Louise Charlotte Sophie, femme de Alphonse Simond; Louis Charles Henri; Henriette Louise Charlotte dite Marie; Henriette)",Lausanne,Switzerland,"A la Ponthaise, Lausanne, Switzerland",Café,,
9199,182.0,5.0,,Au Désert,,,,Salle,"Rivier, les enfants de feu Jaques François Théodore (Jaques Philippe Gaspard Théodore (pour 9/24); Charles Octave (pour 6/24); Alphonse Pierre Octave (pour 9/24)",Lausanne,Switzerland,"Au Désert, Lausanne, Switzerland",Autre,,
9412,188.0,29.0,,Champ de l'Avenue (Haute Ville),,,,"Maison d'habitation, café","Cornu, Julien Fréderic feu Jean Fréderic",Lausanne,Switzerland,"Champ de l'Avenue (Haute Ville), Lausanne, Switzerland",Café,,
9648,195.0,23.0,,Le Vallon,,,,"Brasserie, grenier","Reisser, Jean François Samuel dit Charles feu Charles; Rochat, Georges Antoine Jean Charles feu Jean Daniel (chacun pour 1/2)",Lausanne,Switzerland,"Le Vallon, Lausanne, Switzerland",Brasserie,,
9746,198.0,4.0,,A la Sallaz,,,,"Logement, grange, écurie, café","Barbaz, les quatre enfants de feu Jean Samuel (Emile, Jean François Daniel, François Isaac; Jenny Elise Louise Julie, femme de Henri Charles Antoine Reymond)(chacun pour 1/4)",Lausanne,Switzerland,"A la Sallaz, Lausanne, Switzerland",Café,46.5270822,6.643069
9778,198.0,17.0,,A la Sallaz,,,,"Maison d'habitation, café","Rey, Henri Théodore feu Joseph Alexandre",Lausanne,Switzerland,"A la Sallaz, Lausanne, Switzerland",Café,46.5270822,6.643069
9830,199.0,15.0,,Le Pré Derrière,,,,"Maison d'habitation, café","Bally, François Eugène feu Isaac Samuel",Lausanne,Switzerland,"Le Pré Derrière, Lausanne, Switzerland",Café,,
10161,207.0,34.0,,En Pierre de Plan,,,,"Maison d'habitation, café","Marti, Alexandre Jules feu Abraham François",Lausanne,Switzerland,"En Pierre de Plan, Lausanne, Switzerland",Café,,
10604,219.0,37.0,,L'Essert du Devin,,,,"Logement, grange, écurie, pinte","Cretenoud, Jules André feu Jean Louis",Lausanne,Switzerland,"L'Essert du Devin, Lausanne, Switzerland",Pinte,,
10635,220.0,2.0,,Au Devin,,,,"Maison d'habitation, café","Clavel, Louis Auguste Victor Emmanuel feu Jean Daniel",Lausanne,Switzerland,"Au Devin, Lausanne, Switzerland",Café,46.524391,6.685556
10761,222.0,18.0,,En Montagibert (Le Liseron),,,,"Maison d'habitation, café","Charpentier, Louise fille de Jean Louis Dunand, femme de Louis Joseph",Lausanne,Switzerland,"En Montagibert (Le Liseron), Lausanne, Switzerland",Café,,
10876,225.0,26.0,,Au Bugnon,,,,"Maison d'habitation, café","Chapuis, Charles Louis feu François Louis",Lausanne,Switzerland,"Au Bugnon, Lausanne, Switzerland",Café,46.5251861,6.6409124
12416,271.0,5.0,,Au Chalet à Gobet,,,,Auberge,"Lausanne, la commune de",Lausanne,Switzerland,"Au Chalet à Gobet, Lausanne, Switzerland",Hôtel,46.5639967,6.6928679
12934,292.0,20.0,,A Montherond,,,,Auberge,"Lausanne, la commune de",Lausanne,Switzerland,"A Montherond, Lausanne, Switzerland",Hôtel,,
